,document_n,topic
970,970,1
971,971,1
972,972,1
973,973,1
974,974,1
975,975,1
976,976,1
977,977,1
978,978,1
979,979,1
980,980,1
981,981,1
982,982,2
983,983,0
984,984,1
985,985,0
986,986,1
987,987,0
988,988,1
989,989,1
990,990,1
991,991,0
992,992,1
993,993,1
994,994,1
995,995,1
996,996,1
997,997,2
998,998,2
999,999,1
1000,1000,1
1001,1001,1
1002,1002,0
1003,1003,1
1004,1004,1
1005,1005,2
1006,1006,1
1007,1007,2
1008,1008,1
1009,1009,1
1010,1010,1
1011,1011,1
1012,1012,2
1013,1013,0
1014,1014,1
1015,1015,1
1016,1016,1
1017,1017,1
1018,1018,2
1019,1019,1
1020,1020,1
1021,1021,1
1022,1022,1
1023,1023,1
1024,1024,1
1025,1025,1
1026,1026,0
1027,1027,0
1028,1028,2
1029,1029,1
1030,1030,2
1031,1031,1
1032,1032,2
1033,1033,0
1034,1034,1
1035,1035,1
1036,1036,1
1037,1037,1
1038,1038,1
1039,1039,2
1040,1040,1
1041,1041,1
1042,1042,2
1043,1043,1
1044,1044,2
1045,1045,1
1046,1046,0
1047,1047,1
1048,1048,2
1049,1049,2
1050,1050,1
1051,1051,1
1052,1052,2
1053,1053,2
1054,1054,1
1055,1055,1
1056,1056,1
1057,1057,1
1058,1058,1
1059,1059,0
1060,1060,2
1061,1061,1
1062,1062,1
1063,1063,0
1064,1064,2
1065,1065,1
1066,1066,0
1067,1067,0
1068,1068,1
1069,1069,1
1070,1070,1
1071,1071,1
1072,1072,1
1073,1073,1
1074,1074,0
1075,1075,1
1076,1076,0
1077,1077,1
1078,1078,1
1079,1079,1
1080,1080,0
1081,1081,1
1082,1082,1
1083,1083,1
1084,1084,1
1085,1085,1
1086,1086,1
1087,1087,1
1088,1088,1
1089,1089,1
1090,1090,0
1091,1091,1
1092,1092,1
1093,1093,0
1094,1094,1
1095,1095,0
1096,1096,1
1097,1097,1
1098,1098,1
1099,1099,2
1100,1100,1
1101,1101,2
1102,1102,2
1103,1103,1
1104,1104,2
1105,1105,1
1106,1106,2
1107,1107,1
1108,1108,1
1109,1109,1
1110,1110,2
1111,1111,1
1112,1112,2
1113,1113,0
1114,1114,1
1115,1115,1
1116,1116,1
1117,1117,1
1118,1118,1
1119,1119,1
1120,1120,1
1121,1121,0
1122,1122,1
1123,1123,1
1124,1124,1
1125,1125,1
1126,1126,1
1127,1127,1
1128,1128,1
1129,1129,1
1130,1130,1
1131,1131,1
1132,1132,1
